Tx Time(s)	Rx Time(s)	Latency(s)	Source Address
7.43882	7.45383	0.0150112	04-07-01:00:00:02:01:c0:00
7.45882	7.47383	0.0150112	04-07-01:00:00:02:01:c0:00
7.47882	7.49383	0.0150112	04-07-01:00:00:02:01:c0:00
7.49882	7.51008	0.0112612	04-07-01:00:00:02:01:c0:00
7.51882	7.53008	0.0112612	04-07-01:00:00:02:01:c0:00
7.53882	7.55008	0.0112612	04-07-01:00:00:02:01:c0:00
7.55882	7.57008	0.0112612	04-07-01:00:00:02:01:c0:00
7.57882	7.59008	0.0112612	04-07-01:00:00:02:01:c0:00
7.59882	7.61008	0.0112612	04-07-01:00:00:02:01:c0:00
7.61882	7.63008	0.0112612	04-07-01:00:00:02:01:c0:00
7.63882	7.65008	0.0112612	04-07-01:00:00:02:01:c0:00
7.65882	7.67008	0.0112612	04-07-01:00:00:02:01:c0:00
7.67882	7.69008	0.0112612	04-07-01:00:00:02:01:c0:00
7.69882	7.71008	0.0112612	04-07-01:00:00:02:01:c0:00
7.71882	7.73008	0.0112612	04-07-01:00:00:02:01:c0:00
7.73882	7.75008	0.0112612	04-07-01:00:00:02:01:c0:00
7.75882	7.77008	0.0112612	04-07-01:00:00:02:01:c0:00
7.77882	7.79008	0.0112612	04-07-01:00:00:02:01:c0:00
7.79882	7.81008	0.0112612	04-07-01:00:00:02:01:c0:00
7.81882	7.83008	0.0112612	04-07-01:00:00:02:01:c0:00
7.83882	7.85008	0.0112612	04-07-01:00:00:02:01:c0:00
7.85882	7.87008	0.0112612	04-07-01:00:00:02:01:c0:00
7.87882	7.89008	0.0112612	04-07-01:00:00:02:01:c0:00
7.89882	7.91008	0.0112612	04-07-01:00:00:02:01:c0:00
7.91882	7.93008	0.0112612	04-07-01:00:00:02:01:c0:00
7.93882	7.95008	0.0112612	04-07-01:00:00:02:01:c0:00
7.95882	7.97008	0.0112612	04-07-01:00:00:02:01:c0:00
7.97882	7.99008	0.0112612	04-07-01:00:00:02:01:c0:00
7.99882	8.01008	0.0112612	04-07-01:00:00:02:01:c0:00
8.01882	8.03008	0.0112612	04-07-01:00:00:02:01:c0:00
8.03882	8.05008	0.0112612	04-07-01:00:00:02:01:c0:00
8.05882	8.07008	0.0112612	04-07-01:00:00:02:01:c0:00
8.07882	8.09008	0.0112612	04-07-01:00:00:02:01:c0:00
8.09882	8.11008	0.0112612	04-07-01:00:00:02:01:c0:00
8.11882	8.13008	0.0112612	04-07-01:00:00:02:01:c0:00
8.13882	8.15008	0.0112612	04-07-01:00:00:02:01:c0:00
8.15882	8.17008	0.0112612	04-07-01:00:00:02:01:c0:00
8.17882	8.19008	0.0112612	04-07-01:00:00:02:01:c0:00
8.19882	8.21008	0.0112612	04-07-01:00:00:02:01:c0:00
8.21882	8.23008	0.0112612	04-07-01:00:00:02:01:c0:00
8.23882	8.25008	0.0112612	04-07-01:00:00:02:01:c0:00
8.25882	8.27008	0.0112612	04-07-01:00:00:02:01:c0:00
8.27882	8.29008	0.0112612	04-07-01:00:00:02:01:c0:00
8.29882	8.31008	0.0112612	04-07-01:00:00:02:01:c0:00
8.31882	8.33008	0.0112612	04-07-01:00:00:02:01:c0:00
8.33882	8.35008	0.0112612	04-07-01:00:00:02:01:c0:00
8.35882	8.37008	0.0112612	04-07-01:00:00:02:01:c0:00
8.37882	8.39008	0.0112612	04-07-01:00:00:02:01:c0:00
8.39882	8.41008	0.0112612	04-07-01:00:00:02:01:c0:00
8.41882	8.43008	0.0112612	04-07-01:00:00:02:01:c0:00
8.43882	8.45008	0.0112612	04-07-01:00:00:02:01:c0:00
8.45882	8.47008	0.0112612	04-07-01:00:00:02:01:c0:00
8.47882	8.49008	0.0112612	04-07-01:00:00:02:01:c0:00
8.49882	8.51008	0.0112612	04-07-01:00:00:02:01:c0:00
8.51882	8.52258	0.00376118	04-07-01:00:00:02:01:c0:00
8.53882	8.54258	0.00376118	04-07-01:00:00:02:01:c0:00
8.55882	8.56258	0.00376118	04-07-01:00:00:02:01:c0:00
8.57882	8.58258	0.00376118	04-07-01:00:00:02:01:c0:00
8.59882	8.60258	0.00376118	04-07-01:00:00:02:01:c0:00
8.61882	8.62258	0.00376118	04-07-01:00:00:02:01:c0:00
8.63882	8.64258	0.00376118	04-07-01:00:00:02:01:c0:00
8.65882	8.66258	0.00376118	04-07-01:00:00:02:01:c0:00
8.67882	8.68258	0.00376118	04-07-01:00:00:02:01:c0:00
8.69882	8.70258	0.00376118	04-07-01:00:00:02:01:c0:00
8.71882	8.72258	0.00376118	04-07-01:00:00:02:01:c0:00
8.73882	8.74258	0.00376118	04-07-01:00:00:02:01:c0:00
8.75882	8.76258	0.00376118	04-07-01:00:00:02:01:c0:00
8.77882	8.78258	0.00376118	04-07-01:00:00:02:01:c0:00
8.79882	8.80258	0.00376118	04-07-01:00:00:02:01:c0:00
8.81882	8.82258	0.00376118	04-07-01:00:00:02:01:c0:00
8.83882	8.84258	0.00376118	04-07-01:00:00:02:01:c0:00
8.85882	8.86258	0.00376118	04-07-01:00:00:02:01:c0:00
8.87882	8.88258	0.00376118	04-07-01:00:00:02:01:c0:00
8.89882	8.90258	0.00376118	04-07-01:00:00:02:01:c0:00
8.91882	8.92258	0.00376118	04-07-01:00:00:02:01:c0:00
8.93882	8.94258	0.00376118	04-07-01:00:00:02:01:c0:00
8.95882	8.96258	0.00376118	04-07-01:00:00:02:01:c0:00
8.97882	8.98258	0.00376118	04-07-01:00:00:02:01:c0:00
8.99882	9.00258	0.00376118	04-07-01:00:00:02:01:c0:00
9.01882	9.02258	0.00376118	04-07-01:00:00:02:01:c0:00
9.03882	9.04258	0.00376118	04-07-01:00:00:02:01:c0:00
9.05882	9.06258	0.00376118	04-07-01:00:00:02:01:c0:00
9.07882	9.08258	0.00376118	04-07-01:00:00:02:01:c0:00
9.09882	9.10258	0.00376118	04-07-01:00:00:02:01:c0:00
9.11882	9.12258	0.00376118	04-07-01:00:00:02:01:c0:00
9.13882	9.14258	0.00376118	04-07-01:00:00:02:01:c0:00
9.15882	9.16258	0.00376118	04-07-01:00:00:02:01:c0:00
