Tx Time(s)	Rx Time(s)	Latency(ms)
11.2286	11.2438	15.2135
11.2486	11.2638	15.2135
11.2686	11.2838	15.2135
11.2886	11.3038	15.2135
11.3086	11.3238	15.2135
11.3286	11.3438	15.2135
11.3486	11.3638	15.2135
11.3686	11.3838	15.2135
11.3886	11.4038	15.2135
11.4086	11.4238	15.2135
11.4286	11.4438	15.2135
11.4486	11.4638	15.2135
11.4686	11.4838	15.2135
11.4886	11.5038	15.2135
11.5086	11.5238	15.2135
11.5286	11.5438	15.2135
11.5486	11.5638	15.2135
11.5686	11.5838	15.2135
11.5886	11.6038	15.2135
11.6086	11.6238	15.2135
11.6286	11.6446	15.9635
11.6486	11.6646	15.9635
11.6686	11.6838	15.2135
11.6886	11.7038	15.2135
11.7086	11.7246	15.9635
11.7286	11.7438	15.2135
11.7486	11.7638	15.2135
11.7686	11.7838	15.2135
11.7886	11.8038	15.2135
11.8086	11.8238	15.2135
11.8286	11.8438	15.2135
11.8486	11.8638	15.2135
11.8686	11.8838	15.2135
11.8886	11.9038	15.2135
11.9086	11.9238	15.2135
11.9286	11.9438	15.2135
11.9486	11.9638	15.2135
11.9686	11.9838	15.2135
11.9886	12.0038	15.2135
12.0086	12.0238	15.2135
12.0286	12.0438	15.2135
12.0486	12.0638	15.2135
12.0686	12.0838	15.2135
12.0886	12.1046	15.9635
12.1086	12.1238	15.2135
12.1286	12.1438	15.2135
12.1486	12.1638	15.2135
12.1686	12.1838	15.2135
12.1886	12.2038	15.2135
12.2086	12.2148	6.21355
12.2286	12.2323	3.71355
12.2486	12.2523	3.71355
12.2686	12.2723	3.71355
12.2886	12.2923	3.71355
12.3086	12.3123	3.71355
12.3286	12.3323	3.71355
12.3486	12.3523	3.71355
12.3686	12.3723	3.71355
12.3886	12.3923	3.71355
12.4086	12.4123	3.71355
12.4286	12.4323	3.71355
12.4486	12.4523	3.71355
12.4686	12.4723	3.71355
12.4886	12.4923	3.71355
12.5086	12.5123	3.71355
12.5286	12.5323	3.71355
12.5486	12.5566	7.96355
12.5686	12.5723	3.71355
12.5886	12.5923	3.71355
12.6086	12.6123	3.71355
12.6286	12.6323	3.71355
12.6486	12.6523	3.71355
12.6686	12.6723	3.71355
12.6886	12.6923	3.71355
12.7086	12.7123	3.71355
12.7286	12.7323	3.71355
12.7486	12.7523	3.71355
12.7686	12.7723	3.71355
12.7886	12.7923	3.71355
12.8086	12.8123	3.71355
12.8286	12.8323	3.71355
12.8486	12.8523	3.71355
12.8686	12.8846	15.9635
12.8886	12.9046	15.9635
12.9086	12.9246	15.9635
12.9286	12.9446	15.9635
12.9486	12.9646	15.9635
12.9686	12.9846	15.9635
12.9886	13.0046	15.9635
13.0086	13.0246	15.9635
13.0286	13.0446	15.9635
13.0486	13.0646	15.9635
13.0686	13.0846	15.9635
13.0886	13.1046	15.9635
13.1086	13.1246	15.9635
13.1286	13.1446	15.9635
13.1486	13.1646	15.9635
13.1686	13.1846	15.9635
13.1886	13.2046	15.9635
13.2086	13.2246	15.9635
13.2286	13.2446	15.9635
13.2486	13.2646	15.9635
13.2686	13.2846	15.9635
13.2886	13.3046	15.9635
13.3086	13.3246	15.9635
13.3286	13.3446	15.9635
13.3486	13.3646	15.9635
13.3686	13.3846	15.9635
13.3886	13.4046	15.9635
13.4086	13.4248	16.2135
13.4286	13.4448	16.2135
13.4486	13.4648	16.2135
13.4686	13.4848	16.2135
13.4886	13.5048	16.2135
13.5086	13.5248	16.2135
13.5286	13.5448	16.2135
13.5486	13.5648	16.2135
13.5686	13.5848	16.2135
13.5886	13.6048	16.2135
13.6086	13.6248	16.2135
13.6286	13.6448	16.2135
13.6486	13.6648	16.2135
13.6686	13.6848	16.2135
13.6886	13.7048	16.2135
13.7086	13.7248	16.2135
13.7286	13.7448	16.2135
13.7486	13.7648	16.2135
13.7686	13.7848	16.2135
13.7886	13.8048	16.2135
13.8086	13.8248	16.2135
13.8286	13.8448	16.2135
13.8486	13.8648	16.2135
13.8686	13.8848	16.2135
13.8886	13.9048	16.2135
13.9086	13.9248	16.2135
13.9286	13.9448	16.2135
13.9486	13.9648	16.2135
13.9686	13.9723	3.71355
13.9886	13.9923	3.71355
14.0086	14.0123	3.71355
14.0286	14.0323	3.71355
14.0486	14.0523	3.71355
14.0686	14.0723	3.71355
14.0886	14.0923	3.71355
14.1086	14.1123	3.71355
14.1286	14.1323	3.71355
14.1486	14.1523	3.71355
14.1686	14.1723	3.71355
14.1886	14.1923	3.71355
14.2086	14.2123	3.71355
14.2286	14.2323	3.71355
14.2486	14.2523	3.71355
14.2686	14.2723	3.71355
14.2886	14.2923	3.71355
14.3086	14.3123	3.71355
14.3286	14.3323	3.71355
14.3486	14.3523	3.71355
14.3686	14.3723	3.71355
14.3886	14.3923	3.71355
14.4086	14.4123	3.71355
14.4286	14.4323	3.71355
14.4486	14.4523	3.71355
14.4686	14.4723	3.71355
14.4886	14.4923	3.71355
14.5086	14.5123	3.71355
14.5286	14.5323	3.71355
14.5486	14.5523	3.71355
14.5686	14.5723	3.71355
14.5886	14.5923	3.71355
14.6086	14.6123	3.71355
14.6286	14.6323	3.71355
14.6486	14.6523	3.71355
14.6686	14.6723	3.71355
14.6886	14.6923	3.71355
14.7086	14.7123	3.71355
14.7286	14.7323	3.71355
14.7486	14.7523	3.71355
14.7686	14.7723	3.71355
14.7886	14.7923	3.71355
14.8086	14.8123	3.71355
14.8286	14.8323	3.71355
14.8486	14.8523	3.71355
14.8686	14.8723	3.71355
14.8886	14.8923	3.71355
14.9086	14.9123	3.71355
14.9286	14.9323	3.71355
14.9486	14.9523	3.71355
14.9686	14.9723	3.71355
14.9886	14.9923	3.71355
5.82862	5.84508	16.4635
5.84862	5.86508	16.4635
5.86862	5.88508	16.4635
5.88862	5.90508	16.4635
5.90862	5.92508	16.4635
5.92862	5.94508	16.4635
5.94862	5.96508	16.4635
5.96862	5.98508	16.4635
5.98862	6.00508	16.4635
6.00862	6.02508	16.4635
6.02862	6.04508	16.4635
6.04862	6.06508	16.4635
6.06862	6.08508	16.4635
6.08862	6.10508	16.4635
6.10862	6.12508	16.4635
6.12862	6.14508	16.4635
6.14862	6.16508	16.4635
6.16862	6.18508	16.4635
6.18862	6.20508	16.4635
6.20862	6.22508	16.4635
6.22862	6.24508	16.4635
6.24862	6.26508	16.4635
6.26862	6.28508	16.4635
6.28862	6.30508	16.4635
6.30862	6.32508	16.4635
6.32862	6.34508	16.4635
6.34862	6.36508	16.4635
6.36862	6.37408	5.46355
6.38862	6.39408	5.46355
6.40862	6.41408	5.46355
6.42862	6.43408	5.46355
6.44862	6.45408	5.46355
6.46862	6.47408	5.46355
6.48862	6.49408	5.46355
6.50862	6.51408	5.46355
6.52862	6.53408	5.46355
6.54862	6.55408	5.46355
6.56862	6.57408	5.46355
